Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
6/8/2017,LT,EQ,1788.6,1789,1799,1771.5,1772.5,1774.25,1782.77,952653,1.69836E+14,39123,534176,0.5607
6/9/2017,LT,EQ,1774.25,1777,1783.9,1761.6,1779.8,1778.2,1773.47,1088138,1.92978E+14,44515,583696,0.5364
6/12/2017,LT,EQ,1778.2,1777.8,1778,1708.9,1743,1736.6,1732.36,2712638,4.69927E+14,98321,1530043,0.564
6/13/2017,LT,EQ,1736.6,1744.55,1754.7,1736.55,1740.85,1739,1743.56,941516,1.64159E+14,57523,476292,0.5059
6/14/2017,LT,EQ,1739,1742,1771.35,1734.8,1759,1764.45,1755.83,1386438,2.43435E+14,61835,667755,0.4816
6/15/2017,LT,EQ,1764.45,1757.15,1761.9,1730,1735,1735.35,1739.34,987395,1.71742E+14,50173,491047,0.4973
6/16/2017,LT,EQ,1735.35,1734.85,1751,1720.7,1730.5,1726.7,1730.99,1495435,2.58858E+14,61005,905579,0.6056
6/19/2017,LT,EQ,1726.7,1736,1760,1732.2,1759,1755.8,1745.53,1187371,2.07259E+14,47845,619628,0.5218
6/20/2017,LT,EQ,1755.8,1758.7,1768.95,1740.2,1750.6,1750.5,1752.57,1043648,1.82907E+14,45980,507190,0.486
6/21/2017,LT,EQ,1750.5,1758.5,1782,1751,1752.8,1754.2,1765.66,2371285,4.18688E+14,79145,911466,0.3844
6/22/2017,LT,EQ,1754.2,1760,1765.6,1732.3,1736.5,1736.4,1746.83,1174506,2.05166E+14,55886,612220,0.5213
6/23/2017,LT,EQ,1736.4,1740,1743.25,1719,1721.3,1722.7,1724.98,1144550,1.97433E+14,60559,569745,0.4978
6/27/2017,LT,EQ,1722.7,1717.55,1737.95,1685.9,1701.9,1701.7,1704.89,1544697,2.63353E+14,77026,870666,0.5636
6/28/2017,LT,EQ,1701.7,1698.85,1708,1681.35,1701.4,1703.25,1697.25,1052350,1.7861E+14,64152,593056,0.5636
6/29/2017,LT,EQ,1703.25,1704.1,1723.15,1695.55,1700,1703.65,1707.98,1806368,3.08524E+14,68391,1125747,0.6232
6/30/2017,LT,EQ,1703.65,1699,1699,1661.3,1686.8,1687.6,1676.76,2167690,3.63469E+14,93983,1182480,0.5455
7/3/2017,LT,EQ,1687.6,1688,1710.5,1673.4,1684.4,1687.25,1692.91,1446731,2.44919E+14,46145,726484,0.5022
7/4/2017,LT,EQ,1687.25,1700,1700,1671,1680.5,1683.35,1681.84,1093359,1.83885E+14,41808,537333,0.4915
7/5/2017,LT,EQ,1683.35,1684,1699,1680.1,1699,1695.3,1691.62,689627,1.16659E+14,30850,359401,0.5212
7/6/2017,LT,EQ,1695.3,1699.2,1706.95,1690.3,1695,1697.6,1700.02,945054,1.60661E+14,42026,594582,0.6292
7/7/2017,LT,EQ,1697.6,1697,1717.9,1690.2,1705.05,1704.4,1706.48,1230066,2.09908E+14,43163,508698,0.4136
7/10/2017,LT,EQ,1704.4,1720.1,1739,1710.1,1734.7,1732.15,1729.98,216490,3.74523E+13,6451,119613,0.5525
7/11/2017,LT,EQ,1732.15,1739.4,1749.9,1730,1742,1741.1,1742.03,1415965,2.46665E+14,55194,872822,0.6164
7/12/2017,LT,EQ,1741.1,1748,1756.7,1735.7,1740.35,1739.55,1747.37,1357936,2.37281E+14,51995,924888,0.6811
7/13/2017,LT,EQ,1739.55,1165.1,1182.5,1160,1176,1175.1,1174.04,1643754,1.92984E+14,55472,827283,0.5033
7/14/2017,LT,EQ,1175.1,1183,1183,1159.55,1171,1171.2,1168.77,1401864,1.63846E+14,46316,749320,0.5345
7/17/2017,LT,EQ,1171.2,1178,1182,1162.4,1171.8,1171.25,1171.58,1646087,1.92852E+14,42889,1164254,0.7073
7/18/2017,LT,EQ,1171.25,1169.9,1187,1168.1,1180.4,1177.9,1180.19,2375324,2.80332E+14,37748,1664958,0.7009
